gene_symbol	ensembl_id	transcript_type	panels	MRSD(Blood)	MRSD(Fibroblasts)	MRSD(LCL)	MRSD(Muscle)
A1BG	ENSG00000121410	MANE	-	-	-	-	-
A1BG-AS1	ENSG00000268895	All_GENCODE	-	-	797.62	372.0	-
A1CF	ENSG00000148584	MANE	-	-	-	-	-
A2M	ENSG00000175899	RefSeq	-	-	737.79	-	33.95
A2M-AS1	ENSG00000245105	All_GENCODE	-	-	-	-	-
A2ML1	ENSG00000166535	MANE	-	-	-	-	-
A2ML1-AS1	ENSG00000256661	All_GENCODE	-	-	-	-	-
A2ML1-AS2	ENSG00000256904	All_GENCODE	-	-	-	-	-
A2MP1	ENSG00000256069	All_GENCODE	-	-	-	-	-
A3GALT2	ENSG00000184389	MANE	-	-	-	-	-
A4GALT	ENSG00000128274	RefSeq	-	-	26.04	193.73	94.09
A4GNT	ENSG00000118017	MANE	-	-	-	-	-
AAAS	ENSG00000094914	MANE	Hereditary ataxia - adult onset;DDG2P;Ataxia and cerebellar anomalies - narrow panel;Hypotonic infant;Hereditary ataxia;White matter disorders - childhood onset;Intellectual disability;Congenital adrenal hypoplasia;Hereditary ataxia and cerebellar anomalies - childhood onset;Familial dysautonomia;Paediatric disorders;Fetal anomalies	158.95	28.58	13.34	50.08
AACS	ENSG00000081760	MANE	-	-	74.68	29.17	828.37
AACSP1	ENSG00000250420	All_GENCODE	-	-	-	-	-
AADAC	ENSG00000114771	MANE	-	-	-	-	-
AADACL2	ENSG00000197953	MANE	-	-	-	-	-
AADACL3	ENSG00000188984	MANE	-	-	-	-	-
AADACL4	ENSG00000204518	RefSeq	-	-	-	-	-
AADAT	ENSG00000109576	MANE	-	-	95.12	-	-
AAED1	ENSG00000158122	MANE	-	-	41.05	211.08	185.27
AAGAB	ENSG00000103591	RefSeq	Ichthyosis and erythrokeratoderma;Palmoplantar keratoderma and erythrokeratodermas;Palmoplantar keratodermas	-	-	-	-
AAK1	ENSG00000115977	RefSeq	-	-	-	-	-
AAMDC	ENSG00000087884	RefSeq	-	-	26.8	42.38	15.83
AAMP	ENSG00000127837	RefSeq	-	317.53	31.42	53.19	78.16
AANAT	ENSG00000129673	RefSeq	-	-	-	-	-
AAR2	ENSG00000131043	MANE	-	385.76	68.43	75.28	155.76
AARD	ENSG00000205002	MANE	-	-	-	-	-
AARS	ENSG00000090861	RefSeq	Hereditary neuropathy NOT PMP22 copy number;Hereditary neuropathy;Hypotonic infant;White matter disorders - adult onset;White matter disorders - childhood onset;Intellectual disability;Genetic epilepsy syndromes;Paediatric disorders	323.05	5.89	5.67	14.93
AARS2	ENSG00000124608	MANE	White matter disorders and cerebral calcification - narrow panel;Inherited white matter disorders;Primary ovarian insufficiency;Hypotonic infant;Undiagnosed metabolic disorders;Cardiomyopathies - including childhood onset;White matter disorders - adult onset;White matter disorders - childhood onset;Inborn errors of metabolism;Mitochondrial disorders;Paediatric disorders;Possible mitochondrial disorder - nuclear genes	-	94.95	66.79	-
AARSD1	ENSG00000266967	MANE	-	449.95	21.65	15.59	13.6
AASDH	ENSG00000157426	MANE	-	-	159.19	151.69	-
AASDHPPT	ENSG00000149313	MANE	-	272.14	11.88	9.53	43.84
AASS	ENSG00000008311	MANE	Hypotonic infant;Undiagnosed metabolic disorders;White matter disorders - childhood onset;Intellectual disability;Inborn errors of metabolism;Paediatric disorders	-	93.37	-	-
AATF	ENSG00000108270	RefSeq	-	29.01	10.32	6.07	31.84
AATK	ENSG00000181409	MANE	-	-	-	-	-
AATK-AS1	ENSG00000225180	All_GENCODE	-	-	-	-	-
AB015752.3	ENSG00000254180	All_GENCODE	-	-	-	-	-
AB019440.50	ENSG00000271201	All_GENCODE	-	-	-	-	-
ABAT	ENSG00000183044	MANE	Hypotonic infant;Undiagnosed metabolic disorders;White matter disorders - childhood onset;Childhood onset dystonia or chorea or related movement disorder;Genetic epilepsy syndromes;Inborn errors of metabolism;Mitochondrial disorders;Mitochondrial DNA maintenance disorder;Paediatric disorders;Possible mitochondrial disorder - nuclear genes	-	-	-	-
ABC12-47043100G14.2	ENSG00000237215	All_GENCODE	-	-	-	-	-
ABC7-42389800N19.1	ENSG00000261605	All_GENCODE	-	-	-	-	-
ABCA1	ENSG00000165029	MANE	Hereditary neuropathy;Hypotonic infant;Undiagnosed metabolic disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Paediatric disorders	-	534.48	-	-
ABCA10	ENSG00000154263	RefSeq	-	-	-	-	-
ABCA11P	ENSG00000251595	All_GENCODE	-	-	-	-	-
ABCA12	ENSG00000144452	MANE	Ichthyosis and erythrokeratoderma;Autosomal recessive congenital ichthyosis;Palmoplantar keratodermas;Fetal anomalies	-	-	-	-
ABCA13	ENSG00000179869	MANE	-	-	-	-	-
ABCA17P	ENSG00000238098	All_GENCODE	-	-	-	-	-
ABCA2	ENSG00000107331	MANE	-	408.43	139.14	-	728.2
ABCA3	ENSG00000167972	MANE	Familial pulmonary fibrosis;Surfactant deficiency	-	-	-	739.44
ABCA4	ENSG00000198691	MANE	Retinal disorders	-	-	-	-
ABCA5	ENSG00000154265	MANE	-	-	534.02	66.79	55.28
ABCA6	ENSG00000154262	MANE	-	-	347.14	-	-
ABCA7	ENSG00000064687	RefSeq	-	41.74	-	910.14	-
ABCA8	ENSG00000141338	MANE	-	-	288.71	-	-
ABCA9	ENSG00000154258	MANE	-	-	-	-	728.2
ABCA9-AS1	ENSG00000231749	All_GENCODE	-	-	-	-	-
ABCB1	ENSG00000085563	RefSeq	-	-	-	-	-
ABCB10	ENSG00000135776	MANE	-	-	116.02	89.27	206.03
ABCB11	ENSG00000073734	RefSeq	DDG2P;Hypotonic infant;Undiagnosed metabolic disorders;White matter disorders - childhood onset;Neonatal cholestasis;Inborn errors of metabolism;Paediatric disorders;Cholestasis	-	-	-	-
ABCB4	ENSG00000005471	RefSeq	Hypotonic infant;Undiagnosed metabolic disorders;White matter disorders - childhood onset;Neonatal cholestasis;Inborn errors of metabolism;Paediatric disorders;Cholestasis	-	-	-	-
ABCB5	ENSG00000004846	RefSeq	-	-	-	-	-
ABCB6	ENSG00000115657	MANE	Structural eye disease;Pigmentary skin disorders	-	-	-	-
ABCB7	ENSG00000131269	MANE	Hereditary ataxia - adult onset;DDG2P;Ataxia and cerebellar anomalies - narrow panel;Rare anaemia;Hypotonic infant;Undiagnosed metabolic disorders;Hereditary ataxia;White matter disorders - childhood onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Iron metabolism disorders;Cytopenias and congenital anaemias;Inborn errors of metabolism;Mitochondrial disorders;Paediatric disorders;Possible mitochondrial disorder - nuclear genes	-	88.79	26.71	84.49
ABCB8	ENSG00000197150	RefSeq	-	-	-	-	-
ABCB9	ENSG00000150967	MANE	-	-	489.94	-	-
ABCC1	ENSG00000103222	MANE	-	-	44.27	128.48	158.68
ABCC10	ENSG00000124574	MANE	-	-	336.4	827.48	-
ABCC11	ENSG00000121270	RefSeq	-	-	-	-	-
ABCC12	ENSG00000140798	RefSeq	-	-	-	-	-
ABCC13	ENSG00000243064	All_GENCODE	-	-	-	-	-
